,CSM5MCXD,CSM5MCY2,CSM67U9J,CSM67UAW,CSM67UB9
Galactose metabolism,0.5162237662863234,0.6533646082090222,0.4837283899427569,0.6716275825944681,0.7114542434309874
Glutamate metabolism,0.4422848369382689,0.545022879397755,0.4334460575374199,0.49358615682702023,0.7170268287465655
Glutathione metabolism,0.4569641512950655,0.3604929194982047,0.4480741550178074,0.41956646057898744,0.7980622754615546
Glycerophospholipid metabolism,0.7741121233558743,0.8275025753654788,0.7675225069123045,0.8058571711467091,0.9202882307525039
"Glycine, serine, alanine, and threonine metabolism",0.43401310107457375,0.5275852867872893,0.4225650893196501,0.4964360858446894,0.7300981971563598
Glycolysis/gluconeogenesis,0.7026214569200395,0.7564155177629605,0.6885598547666878,0.7558772643165313,0.8334460966081249
Glyoxylate and dicarboxylate metabolism,0.33494959113755496,0.340762602829551,0.3143521652888634,0.39070744181529776,0.6307309701230639
Heme synthesis,0.7019971128737493,0.7113562430098609,0.7108095328591335,0.700493870548575,0.9288555251776436
Histidine metabolism,0.6568290359118222,0.6510112887502888,0.6503943367540856,0.6576313689946891,0.8370266055980201
Histone phosphorylation,0.01508944927912305,0.0053451496244485,0.006182297605473151,0.01760107467711125,0.7942275747508305
Inorganic ion metabolism,0.0112943037290355,0.0052358621785955,0.0045847586469023,0.0168484770012624,0.7941661597491928
Inositol phosphate metabolism,0.412323779651237,0.1749062777358289,0.43462649745907056,0.2898535087056757,0.8511059899448368
Lipoate metabolism,0.1027114361003759,0.0278285578031235,0.0306759153680475,0.1159809665620042,0.064772355060596
Lipopolysaccharide biosynthesis,0.09942099702505051,0.7749436176131619,0.08005808152793596,0.4391033162852423,0.48240697820644773
Lysine metabolism,0.43769915450818997,0.6047160747222224,0.4205846487207575,0.526249045567147,0.7530604282328716
Methane metabolism,0.3388548556341253,0.3355886288068458,0.33532349339076806,0.33648938810302204,0.8555616645610092
Methionine and cysteine metabolism,0.5681992069235929,0.6152202789328725,0.5623147572263876,0.6225177028433428,0.7707628788942248
Miscellaneous,0.9998146449059782,0.9999999999999992,0.9999168567084754,0.9999999999999996,0.9999999999999996
NAD metabolism,0.5466627477303927,0.7853009804645139,0.5337993882463663,0.69046432155227,0.8484194201755378
Naphthalene degradation,0.4492111596123605,0.0935599888725508,0.4842522646648929,0.2620415628135822,0.8484833419119366
Nitrogen metabolism,0.02704886887053864,0.4787267019035885,0.00918852147472434,0.2411711390929983,0.17829535351644746
Nucleotide interconversion,0.5255063532029279,0.7123303518685288,0.512595839587534,0.6290702956678791,0.7416513269605808
Nucleotide salvage pathway,0.5775249887352644,0.6864940587370341,0.5740337278963275,0.6295624066478303,0.7974992814027015
Nucleotide sugar metabolism,0.28924847777129015,0.401667130310376,0.2692053085012034,0.39442915870909245,0.39553366711899285
O-glycan degradation,0.0112943037290355,0.0052358621785955,0.0045847586469022995,0.016848477001262397,0.7941661597491928
Others,0.26405872049378587,0.5495827206612882,0.26078091346762944,0.42874761272780226,0.5334354967011369
Oxidative phosphorylation,0.4613941380421762,0.9217899296586254,0.43962741247518866,0.7492959570129153,0.6450505357727759
Pentose and glucuronate interconversions,0.3167454372553297,0.3949936071983081,0.3130131947994074,0.3563378379434241,0.6909758470631323
Pentose phosphate pathway,0.4998386431163222,0.6340910919342468,0.4895619922561823,0.5813030499450106,0.7472968839697285
Peptide metabolism,0.9483399093743655,0.9890759615726508,0.9478137273533507,0.9667724079888644,0.9480693832517746
Phenylalanine metabolism,0.7758276877260942,0.7628443796447159,0.7706029571297349,0.7856937655779623,0.9051883978288331
Phosphonate and phosphinate metabolism,0.8869426604016643,0.1818841155665061,0.9638366273913593,0.5072346486259021,0.9028005240746804
Plant polysaccharide degradation,0.5142329542821659,0.5392143226165398,0.5128492678111405,0.5880053733855564,0.5063077106047132
Propanoate metabolism,0.3539000256407878,0.4978225304348974,0.3329779947421764,0.48307194725881786,0.6854913395099276
Purine catabolism,0.493616330267318,0.6342421325997968,0.47943210549799187,0.5930145987764217,0.7657664897372096
Purine synthesis,0.6384769028674087,0.6233568246146233,0.6306088728409135,0.6476242370619734,0.665478335127041
Pyrimidine catabolism,0.4490381615246072,0.6167348885268048,0.4323023565184338,0.5758866625664928,0.6353703617051142
Pyrimidine synthesis,0.811683165933182,0.9372621542028725,0.8054261305303256,0.8791055221749821,0.9331677716660827
Pyruvate metabolism,0.5266839948631589,0.6750736549051531,0.5155030672063167,0.6171309690553529,0.673475327135661
ROS detoxification,0.5277347856934698,0.44669753209076773,0.5277329067950502,0.62289191726281,0.9144713240684412
Respiration,0.24710071653102753,0.5563520441317205,0.2113201785023334,0.47003782016568074,0.6177791133981765
Selenoamino acid metabolism,0.5127153594498657,0.5055488216826287,0.5053785791207396,0.5164843168355288,0.8983523232417759
Squalene and cholesterol synthesis,0.33486621996088994,0.32104280093788473,0.263505637907006,0.5362671155277893,0.9225948715549107
Starch and sucrose metabolism,0.5171725877789768,0.6899903538022996,0.49854211297697587,0.6144978415233809,0.7639409395059572
Steroid metabolism,0.1129615727997577,0.038489051384969795,0.0350429177752438,0.1459392095296668,0.8612313415375975
Stickland reaction,0.013764160356870201,0.7893087072288676,0.0061783384011148,0.36173243129511523,0.4079242899256
Sulfur metabolism,0.25469197244250286,0.32865384360635297,0.25479195700831947,0.3123559094652869,0.318032224353875
Terpenoid backbone biosynthesis,0.8209129974081175,0.9272710349573406,0.8096731280881789,0.8880192583228697,0.9275256803981782
Tetrahydrobiopterin metabolism,0.9820638054018651,0.2094940984779236,0.9913174648422651,0.6217104198362086,0.9674500491320009
Thiamine metabolism,0.6987903895068792,0.7914741341002116,0.719877653386775,0.7263428314151776,0.92005468327938
"Transport, extracellular",0.35236137435323156,0.537317421543611,0.33459308866346804,0.48638846407777525,0.5904421703542888
"Transport, periplasmatic",0.0112943037290355,0.0052358621785955,0.0045847586469023,0.0168484770012624,0.7941661597491928
Tryptophan metabolism,0.7578621452380727,0.8179337386904046,0.7522168245069467,0.7860478101835364,0.8206521103364368
Tyrosine metabolism,0.43446483791800306,0.7679799138190422,0.431228620296465,0.5864759006894763,0.6604410516253665
Ubiquinone and other terpenoid-quinone biosynthesis,0.6181473798213871,0.8640618009289107,0.6089767168131824,0.7723735306985712,0.6991793219934759
Unassigned,0.31020616635207765,0.8785154128416055,0.24540930254655996,0.6471962364721239,0.644242392338527
Urea cycle,0.6171665590577368,0.6713991442461811,0.5975437975984342,0.6779924974014246,0.9334118405523577
"Valine, leucine, and isoleucine metabolism",0.5478787654115034,0.6148792097744921,0.5359295156045438,0.5994896362714313,0.7026229729799988
Vitamin B12 metabolism,0.3586053314971488,0.4889689494764402,0.3478088265003884,0.44227897337015876,0.8721407641322477
Vitamin B2 metabolism,0.6436762505547777,0.45122203234908353,0.6592962118332697,0.5494890967748896,0.6954642584187292
Vitamin B6 metabolism,0.4771201711730527,0.7944394853249119,0.4608632649182818,0.6765087435789535,0.9098000345543743
Wood-Ljungdahl Pathway,0.0112943037290355,0.0052358621785955,0.0045847586469023,0.0168484770012624,0.7941661597491927
tRNA Charging,0.5784635916256565,0.90828200135119,0.593501361966299,0.7126792477260219,0.5870034158439004
