rxnID,rxnName,rxnSubs,lb,ub,rxnEq,rxnS
Diet_EX_4abut_d,EX_4abut_d,,-1000,10000,4abut_d,-1
DUt_4abut,DUt_4abut,,0,10000,4abut_d;4abut_u,-1;1
UFEt_4abut,UFEt_4abut,,0,10000,4abut_u;4abut_fe,-1;1
EX_4abut_fe,EX_4abut_fe,,-1000,10000,4abut_fe,-1
Diet_EX_4abz_d,EX_4abz_d,,-1000,10000,4abz_d,-1
DUt_4abz,DUt_4abz,,0,10000,4abz_d;4abz_u,-1;1
UFEt_4abz,UFEt_4abz,,0,10000,4abz_u;4abz_fe,-1;1
EX_4abz_fe,EX_4abz_fe,,-1000,10000,4abz_fe,-1
Diet_EX_4hbz_d,EX_4hbz_d,,-1000,10000,4hbz_d,-1
DUt_4hbz,DUt_4hbz,,0,10000,4hbz_d;4hbz_u,-1;1
UFEt_4hbz,UFEt_4hbz,,0,10000,4hbz_u;4hbz_fe,-1;1
EX_4hbz_fe,EX_4hbz_fe,,-1000,10000,4hbz_fe,-1
Diet_EX_4hpro_LT_d,EX_4hpro_LT_d,,-1000,10000,4hpro_LT_d,-1
DUt_4hpro_LT,DUt_4hpro_LT,,0,10000,4hpro_LT_d;4hpro_LT_u,-1;1
UFEt_4hpro_LT,UFEt_4hpro_LT,,0,10000,4hpro_LT_u;4hpro_LT_fe,-1;1
EX_4hpro_LT_fe,EX_4hpro_LT_fe,,-1000,10000,4hpro_LT_fe,-1
Diet_EX_5aop_d,EX_5aop_d,,-1000,10000,5aop_d,-1
DUt_5aop,DUt_5aop,,0,10000,5aop_d;5aop_u,-1;1
UFEt_5aop,UFEt_5aop,,0,10000,5aop_u;5aop_fe,-1;1
EX_5aop_fe,EX_5aop_fe,,-1000,10000,5aop_fe,-1
Diet_EX_7dhcdchol_d,EX_7dhcdchol_d,,-1000,10000,7dhcdchol_d,-1
DUt_7dhcdchol,DUt_7dhcdchol,,0,10000,7dhcdchol_d;7dhcdchol_u,-1;1
UFEt_7dhcdchol,UFEt_7dhcdchol,,0,10000,7dhcdchol_u;7dhcdchol_fe,-1;1
EX_7dhcdchol_fe,EX_7dhcdchol_fe,,-1000,10000,7dhcdchol_fe,-1
Diet_EX_C02528_d,EX_C02528_d,,-1000,10000,C02528_d,-1
DUt_C02528,DUt_C02528,,0,10000,C02528_d;C02528_u,-1;1
UFEt_C02528,UFEt_C02528,,0,10000,C02528_u;C02528_fe,-1;1
EX_C02528_fe,EX_C02528_fe,,-1000,10000,C02528_fe,-1
Diet_EX_HC02191_d,EX_HC02191_d,,-1000,10000,HC02191_d,-1
DUt_HC02191,DUt_HC02191,,0,10000,HC02191_d;HC02191_u,-1;1
UFEt_HC02191,UFEt_HC02191,,0,10000,HC02191_u;HC02191_fe,-1;1
EX_HC02191_fe,EX_HC02191_fe,,-1000,10000,HC02191_fe,-1
Diet_EX_Nbfortyr_d,EX_Nbfortyr_d,,-1000,10000,Nbfortyr_d,-1
DUt_Nbfortyr,DUt_Nbfortyr,,0,10000,Nbfortyr_d;Nbfortyr_u,-1;1
UFEt_Nbfortyr,UFEt_Nbfortyr,,0,10000,Nbfortyr_u;Nbfortyr_fe,-1;1
EX_Nbfortyr_fe,EX_Nbfortyr_fe,,-1000,10000,Nbfortyr_fe,-1
Diet_EX_Ser_Thr_d,EX_Ser_Thr_d,,-1000,10000,Ser_Thr_d,-1
DUt_Ser_Thr,DUt_Ser_Thr,,0,10000,Ser_Thr_d;Ser_Thr_u,-1;1
UFEt_Ser_Thr,UFEt_Ser_Thr,,0,10000,Ser_Thr_u;Ser_Thr_fe,-1;1
EX_Ser_Thr_fe,EX_Ser_Thr_fe,,-1000,10000,Ser_Thr_fe,-1
Diet_EX_T_antigen_d,EX_T_antigen_d,,-1000,10000,T_antigen_d,-1
DUt_T_antigen,DUt_T_antigen,,0,10000,T_antigen_d;T_antigen_u,-1;1
UFEt_T_antigen,UFEt_T_antigen,,0,10000,T_antigen_u;T_antigen_fe,-1;1
EX_T_antigen_fe,EX_T_antigen_fe,,-1000,10000,T_antigen_fe,-1
Diet_EX_Tn_antigen_d,EX_Tn_antigen_d,,-1000,10000,Tn_antigen_d,-1
DUt_Tn_antigen,DUt_Tn_antigen,,0,10000,Tn_antigen_d;Tn_antigen_u,-1;1
UFEt_Tn_antigen,UFEt_Tn_antigen,,0,10000,Tn_antigen_u;Tn_antigen_fe,-1;1
EX_Tn_antigen_fe,EX_Tn_antigen_fe,,-1000,10000,Tn_antigen_fe,-1
Diet_EX_ac_d,EX_ac_d,,-1000,10000,ac_d,-1
DUt_ac,DUt_ac,,0,10000,ac_d;ac_u,-1;1
UFEt_ac,UFEt_ac,,0,10000,ac_u;ac_fe,-1;1
EX_ac_fe,EX_ac_fe,,-1000,10000,ac_fe,-1
Diet_EX_acac_d,EX_acac_d,,-1000,10000,acac_d,-1
DUt_acac,DUt_acac,,0,10000,acac_d;acac_u,-1;1
UFEt_acac,UFEt_acac,,0,10000,acac_u;acac_fe,-1;1
EX_acac_fe,EX_acac_fe,,-1000,10000,acac_fe,-1
Diet_EX_acald_d,EX_acald_d,,-1000,10000,acald_d,-1
DUt_acald,DUt_acald,,0,10000,acald_d;acald_u,-1;1
UFEt_acald,UFEt_acald,,0,10000,acald_u;acald_fe,-1;1
EX_acald_fe,EX_acald_fe,,-1000,10000,acald_fe,-1
Diet_EX_acgal_d,EX_acgal_d,,-1000,10000,acgal_d,-1
DUt_acgal,DUt_acgal,,0,10000,acgal_d;acgal_u,-1;1
UFEt_acgal,UFEt_acgal,,0,10000,acgal_u;acgal_fe,-1;1
EX_acgal_fe,EX_acgal_fe,,-1000,10000,acgal_fe,-1
Diet_EX_acgam_d,EX_acgam_d,,-1000,10000,acgam_d,-1
DUt_acgam,DUt_acgam,,0,10000,acgam_d;acgam_u,-1;1
UFEt_acgam,UFEt_acgam,,0,10000,acgam_u;acgam_fe,-1;1
EX_acgam_fe,EX_acgam_fe,,-1000,10000,acgam_fe,-1
Diet_EX_acmana_d,EX_acmana_d,,-1000,10000,acmana_d,-1
DUt_acmana,DUt_acmana,,0,10000,acmana_d;acmana_u,-1;1
UFEt_acmana,UFEt_acmana,,0,10000,acmana_u;acmana_fe,-1;1
EX_acmana_fe,EX_acmana_fe,,-1000,10000,acmana_fe,-1
Diet_EX_acnam_d,EX_acnam_d,,-1000,10000,acnam_d,-1
DUt_acnam,DUt_acnam,,0,10000,acnam_d;acnam_u,-1;1
UFEt_acnam,UFEt_acnam,,0,10000,acnam_u;acnam_fe,-1;1
EX_acnam_fe,EX_acnam_fe,,-1000,10000,acnam_fe,-1
Diet_EX_ade_d,EX_ade_d,,-1000,10000,ade_d,-1
DUt_ade,DUt_ade,,0,10000,ade_d;ade_u,-1;1
UFEt_ade,UFEt_ade,,0,10000,ade_u;ade_fe,-1;1
EX_ade_fe,EX_ade_fe,,-1000,10000,ade_fe,-1
Diet_EX_adn_d,EX_adn_d,,-1000,10000,adn_d,-1
DUt_adn,DUt_adn,,0,10000,adn_d;adn_u,-1;1
UFEt_adn,UFEt_adn,,0,10000,adn_u;adn_fe,-1;1
EX_adn_fe,EX_adn_fe,,-1000,10000,adn_fe,-1
Diet_EX_adocbl_d,EX_adocbl_d,,-1000,10000,adocbl_d,-1
DUt_adocbl,DUt_adocbl,,0,10000,adocbl_d;adocbl_u,-1;1
UFEt_adocbl,UFEt_adocbl,,0,10000,adocbl_u;adocbl_fe,-1;1
EX_adocbl_fe,EX_adocbl_fe,,-1000,10000,adocbl_fe,-1
Diet_EX_adprib_d,EX_adprib_d,,-1000,10000,adprib_d,-1
DUt_adprib,DUt_adprib,,0,10000,adprib_d;adprib_u,-1;1
UFEt_adprib,UFEt_adprib,,0,10000,adprib_u;adprib_fe,-1;1
EX_adprib_fe,EX_adprib_fe,,-1000,10000,adprib_fe,-1
Diet_EX_ahcys_d,EX_ahcys_d,,-1000,10000,ahcys_d,-1
DUt_ahcys,DUt_ahcys,,0,10000,ahcys_d;ahcys_u,-1;1
UFEt_ahcys,UFEt_ahcys,,0,10000,ahcys_u;ahcys_fe,-1;1
EX_ahcys_fe,EX_ahcys_fe,,-1000,10000,ahcys_fe,-1
Diet_EX_ala_D_d,EX_ala_D_d,,-1000,10000,ala_D_d,-1
DUt_ala_D,DUt_ala_D,,0,10000,ala_D_d;ala_D_u,-1;1
UFEt_ala_D,UFEt_ala_D,,0,10000,ala_D_u;ala_D_fe,-1;1
EX_ala_D_fe,EX_ala_D_fe,,-1000,10000,ala_D_fe,-1
Diet_EX_ala_L_d,EX_ala_L_d,,-1000,10000,ala_L_d,-1
DUt_ala_L,DUt_ala_L,,0,10000,ala_L_d;ala_L_u,-1;1
UFEt_ala_L,UFEt_ala_L,,0,10000,ala_L_u;ala_L_fe,-1;1
EX_ala_L_fe,EX_ala_L_fe,,-1000,10000,ala_L_fe,-1
Diet_EX_alaala_d,EX_alaala_d,,-1000,10000,alaala_d,-1
DUt_alaala,DUt_alaala,,0,10000,alaala_d;alaala_u,-1;1
UFEt_alaala,UFEt_alaala,,0,10000,alaala_u;alaala_fe,-1;1
EX_alaala_fe,EX_alaala_fe,,-1000,10000,alaala_fe,-1
Diet_EX_alaasp_d,EX_alaasp_d,,-1000,10000,alaasp_d,-1
DUt_alaasp,DUt_alaasp,,0,10000,alaasp_d;alaasp_u,-1;1
UFEt_alaasp,UFEt_alaasp,,0,10000,alaasp_u;alaasp_fe,-1;1
EX_alaasp_fe,EX_alaasp_fe,,-1000,10000,alaasp_fe,-1
Diet_EX_alagln_d,EX_alagln_d,,-1000,10000,alagln_d,-1
DUt_alagln,DUt_alagln,,0,10000,alagln_d;alagln_u,-1;1
UFEt_alagln,UFEt_alagln,,0,10000,alagln_u;alagln_fe,-1;1
EX_alagln_fe,EX_alagln_fe,,-1000,10000,alagln_fe,-1
Diet_EX_alaglu_d,EX_alaglu_d,,-1000,10000,alaglu_d,-1
DUt_alaglu,DUt_alaglu,,0,10000,alaglu_d;alaglu_u,-1;1
UFEt_alaglu,UFEt_alaglu,,0,10000,alaglu_u;alaglu_fe,-1;1
EX_alaglu_fe,EX_alaglu_fe,,-1000,10000,alaglu_fe,-1
Diet_EX_alagly_d,EX_alagly_d,,-1000,10000,alagly_d,-1
DUt_alagly,DUt_alagly,,0,10000,alagly_d;alagly_u,-1;1
UFEt_alagly,UFEt_alagly,,0,10000,alagly_u;alagly_fe,-1;1
EX_alagly_fe,EX_alagly_fe,,-1000,10000,alagly_fe,-1
Diet_EX_alahis_d,EX_alahis_d,,-1000,10000,alahis_d,-1
DUt_alahis,DUt_alahis,,0,10000,alahis_d;alahis_u,-1;1
UFEt_alahis,UFEt_alahis,,0,10000,alahis_u;alahis_fe,-1;1
EX_alahis_fe,EX_alahis_fe,,-1000,10000,alahis_fe,-1
Diet_EX_alaleu_d,EX_alaleu_d,,-1000,10000,alaleu_d,-1
DUt_alaleu,DUt_alaleu,,0,10000,alaleu_d;alaleu_u,-1;1
UFEt_alaleu,UFEt_alaleu,,0,10000,alaleu_u;alaleu_fe,-1;1
EX_alaleu_fe,EX_alaleu_fe,,-1000,10000,alaleu_fe,-1
Diet_EX_alathr_d,EX_alathr_d,,-1000,10000,alathr_d,-1
DUt_alathr,DUt_alathr,,0,10000,alathr_d;alathr_u,-1;1
UFEt_alathr,UFEt_alathr,,0,10000,alathr_u;alathr_fe,-1;1
EX_alathr_fe,EX_alathr_fe,,-1000,10000,alathr_fe,-1
Diet_EX_alltn_d,EX_alltn_d,,-1000,10000,alltn_d,-1
DUt_alltn,DUt_alltn,,0,10000,alltn_d;alltn_u,-1;1
UFEt_alltn,UFEt_alltn,,0,10000,alltn_u;alltn_fe,-1;1
EX_alltn_fe,EX_alltn_fe,,-1000,10000,alltn_fe,-1
Diet_EX_amet_d,EX_amet_d,,-1000,10000,amet_d,-1
DUt_amet,DUt_amet,,0,10000,amet_d;amet_u,-1;1
UFEt_amet,UFEt_amet,,0,10000,amet_u;amet_fe,-1;1
EX_amet_fe,EX_amet_fe,,-1000,10000,amet_fe,-1
Diet_EX_amp_d,EX_amp_d,,-1000,10000,amp_d,-1
DUt_amp,DUt_amp,,0,10000,amp_d;amp_u,-1;1
UFEt_amp,UFEt_amp,,0,10000,amp_u;amp_fe,-1;1
EX_amp_fe,EX_amp_fe,,-1000,10000,amp_fe,-1
Diet_EX_arab_D_d,EX_arab_D_d,,-1000,10000,arab_D_d,-1
DUt_arab_D,DUt_arab_D,,0,10000,arab_D_d;arab_D_u,-1;1
UFEt_arab_D,UFEt_arab_D,,0,10000,arab_D_u;arab_D_fe,-1;1
EX_arab_D_fe,EX_arab_D_fe,,-1000,10000,arab_D_fe,-1
Diet_EX_arab_L_d,EX_arab_L_d,,-1000,10000,arab_L_d,-1
DUt_arab_L,DUt_arab_L,,0,10000,arab_L_d;arab_L_u,-1;1
UFEt_arab_L,UFEt_arab_L,,0,10000,arab_L_u;arab_L_fe,-1;1
EX_arab_L_fe,EX_arab_L_fe,,-1000,10000,arab_L_fe,-1
Diet_EX_arabttr_d,EX_arabttr_d,,-1000,10000,arabttr_d,-1
DUt_arabttr,DUt_arabttr,,0,10000,arabttr_d;arabttr_u,-1;1
UFEt_arabttr,UFEt_arabttr,,0,10000,arabttr_u;arabttr_fe,-1;1
EX_arabttr_fe,EX_arabttr_fe,,-1000,10000,arabttr_fe,-1
Diet_EX_arbt_d,EX_arbt_d,,-1000,10000,arbt_d,-1
DUt_arbt,DUt_arbt,,0,10000,arbt_d;arbt_u,-1;1
UFEt_arbt,UFEt_arbt,,0,10000,arbt_u;arbt_fe,-1;1
EX_arbt_fe,EX_arbt_fe,,-1000,10000,arbt_fe,-1
Diet_EX_arg_L_d,EX_arg_L_d,,-1000,10000,arg_L_d,-1
DUt_arg_L,DUt_arg_L,,0,10000,arg_L_d;arg_L_u,-1;1
UFEt_arg_L,UFEt_arg_L,,0,10000,arg_L_u;arg_L_fe,-1;1
EX_arg_L_fe,EX_arg_L_fe,,-1000,10000,arg_L_fe,-1
Diet_EX_asn_L_d,EX_asn_L_d,,-1000,10000,asn_L_d,-1
DUt_asn_L,DUt_asn_L,,0,10000,asn_L_d;asn_L_u,-1;1
UFEt_asn_L,UFEt_asn_L,,0,10000,asn_L_u;asn_L_fe,-1;1
EX_asn_L_fe,EX_asn_L_fe,,-1000,10000,asn_L_fe,-1
Diet_EX_aso3_d,EX_aso3_d,,-1000,10000,aso3_d,-1
DUt_aso3,DUt_aso3,,0,10000,aso3_d;aso3_u,-1;1
UFEt_aso3,UFEt_aso3,,0,10000,aso3_u;aso3_fe,-1;1
EX_aso3_fe,EX_aso3_fe,,-1000,10000,aso3_fe,-1
Diet_EX_aso4_d,EX_aso4_d,,-1000,10000,aso4_d,-1
DUt_aso4,DUt_aso4,,0,10000,aso4_d;aso4_u,-1;1
UFEt_aso4,UFEt_aso4,,0,10000,aso4_u;aso4_fe,-1;1
EX_aso4_fe,EX_aso4_fe,,-1000,10000,aso4_fe,-1
Diet_EX_asp_L_d,EX_asp_L_d,,-1000,10000,asp_L_d,-1
DUt_asp_L,DUt_asp_L,,0,10000,asp_L_d;asp_L_u,-1;1
UFEt_asp_L,UFEt_asp_L,,0,10000,asp_L_u;asp_L_fe,-1;1
EX_asp_L_fe,EX_asp_L_fe,,-1000,10000,asp_L_fe,-1
Diet_EX_atp_d,EX_atp_d,,-1000,10000,atp_d,-1
DUt_atp,DUt_atp,,0,10000,atp_d;atp_u,-1;1
UFEt_atp,UFEt_atp,,0,10000,atp_u;atp_fe,-1;1
EX_atp_fe,EX_atp_fe,,-1000,10000,atp_fe,-1
Diet_EX_btn_d,EX_btn_d,,-1000,10000,btn_d,-1
DUt_btn,DUt_btn,,0,10000,btn_d;btn_u,-1;1
UFEt_btn,UFEt_btn,,0,10000,btn_u;btn_fe,-1;1
EX_btn_fe,EX_btn_fe,,-1000,10000,btn_fe,-1
Diet_EX_but_d,EX_but_d,,-1000,10000,but_d,-1
DUt_but,DUt_but,,0,10000,but_d;but_u,-1;1
UFEt_but,UFEt_but,,0,10000,but_u;but_fe,-1;1
EX_but_fe,EX_but_fe,,-1000,10000,but_fe,-1
Diet_EX_bz_d,EX_bz_d,,-1000,10000,bz_d,-1
DUt_bz,DUt_bz,,0,10000,bz_d;bz_u,-1;1
UFEt_bz,UFEt_bz,,0,10000,bz_u;bz_fe,-1;1
EX_bz_fe,EX_bz_fe,,-1000,10000,bz_fe,-1
Diet_EX_bzam_d,EX_bzam_d,,-1000,10000,bzam_d,-1
DUt_bzam,DUt_bzam,,0,10000,bzam_d;bzam_u,-1;1
UFEt_bzam,UFEt_bzam,,0,10000,bzam_u;bzam_fe,-1;1
EX_bzam_fe,EX_bzam_fe,,-1000,10000,bzam_fe,-1
Diet_EX_ca2_d,EX_ca2_d,,-1000,10000,ca2_d,-1
DUt_ca2,DUt_ca2,,0,10000,ca2_d;ca2_u,-1;1
UFEt_ca2,UFEt_ca2,,0,10000,ca2_u;ca2_fe,-1;1
EX_ca2_fe,EX_ca2_fe,,-1000,10000,ca2_fe,-1
Diet_EX_cbl1_d,EX_cbl1_d,,-1000,10000,cbl1_d,-1
DUt_cbl1,DUt_cbl1,,0,10000,cbl1_d;cbl1_u,-1;1
UFEt_cbl1,UFEt_cbl1,,0,10000,cbl1_u;cbl1_fe,-1;1
EX_cbl1_fe,EX_cbl1_fe,,-1000,10000,cbl1_fe,-1
Diet_EX_cbl2_d,EX_cbl2_d,,-1000,10000,cbl2_d,-1
DUt_cbl2,DUt_cbl2,,0,10000,cbl2_d;cbl2_u,-1;1
UFEt_cbl2,UFEt_cbl2,,0,10000,cbl2_u;cbl2_fe,-1;1
EX_cbl2_fe,EX_cbl2_fe,,-1000,10000,cbl2_fe,-1
Diet_EX_cdp_d,EX_cdp_d,,-1000,10000,cdp_d,-1
DUt_cdp,DUt_cdp,,0,10000,cdp_d;cdp_u,-1;1
UFEt_cdp,UFEt_cdp,,0,10000,cdp_u;cdp_fe,-1;1
EX_cdp_fe,EX_cdp_fe,,-1000,10000,cdp_fe,-1
Diet_EX_cellb_d,EX_cellb_d,,-1000,10000,cellb_d,-1
DUt_cellb,DUt_cellb,,0,10000,cellb_d;cellb_u,-1;1
UFEt_cellb,UFEt_cellb,,0,10000,cellb_u;cellb_fe,-1;1
EX_cellb_fe,EX_cellb_fe,,-1000,10000,cellb_fe,-1
Diet_EX_cgly_d,EX_cgly_d,,-1000,10000,cgly_d,-1
DUt_cgly,DUt_cgly,,0,10000,cgly_d;cgly_u,-1;1
UFEt_cgly,UFEt_cgly,,0,10000,cgly_u;cgly_fe,-1;1
EX_cgly_fe,EX_cgly_fe,,-1000,10000,cgly_fe,-1
Diet_EX_cholate_d,EX_cholate_d,,-1000,10000,cholate_d,-1
DUt_cholate,DUt_cholate,,0,10000,cholate_d;cholate_u,-1;1
UFEt_cholate,UFEt_cholate,,0,10000,cholate_u;cholate_fe,-1;1
EX_cholate_fe,EX_cholate_fe,,-1000,10000,cholate_fe,-1
Diet_EX_chor_d,EX_chor_d,,-1000,10000,chor_d,-1
DUt_chor,DUt_chor,,0,10000,chor_d;chor_u,-1;1
UFEt_chor,UFEt_chor,,0,10000,chor_u;chor_fe,-1;1
EX_chor_fe,EX_chor_fe,,-1000,10000,chor_fe,-1
Diet_EX_chtbs_d,EX_chtbs_d,,-1000,10000,chtbs_d,-1
DUt_chtbs,DUt_chtbs,,0,10000,chtbs_d;chtbs_u,-1;1
UFEt_chtbs,UFEt_chtbs,,0,10000,chtbs_u;chtbs_fe,-1;1
EX_chtbs_fe,EX_chtbs_fe,,-1000,10000,chtbs_fe,-1
Diet_EX_cit_d,EX_cit_d,,-1000,10000,cit_d,-1
DUt_cit,DUt_cit,,0,10000,cit_d;cit_u,-1;1
UFEt_cit,UFEt_cit,,0,10000,cit_u;cit_fe,-1;1
EX_cit_fe,EX_cit_fe,,-1000,10000,cit_fe,-1
Diet_EX_cl_d,EX_cl_d,,-1000,10000,cl_d,-1
DUt_cl,DUt_cl,,0,10000,cl_d;cl_u,-1;1
UFEt_cl,UFEt_cl,,0,10000,cl_u;cl_fe,-1;1
EX_cl_fe,EX_cl_fe,,-1000,10000,cl_fe,-1
Diet_EX_cmp_d,EX_cmp_d,,-1000,10000,cmp_d,-1
DUt_cmp,DUt_cmp,,0,10000,cmp_d;cmp_u,-1;1
UFEt_cmp,UFEt_cmp,,0,10000,cmp_u;cmp_fe,-1;1
EX_cmp_fe,EX_cmp_fe,,-1000,10000,cmp_fe,-1
Diet_EX_co2_d,EX_co2_d,,-1000,10000,co2_d,-1
DUt_co2,DUt_co2,,0,10000,co2_d;co2_u,-1;1
UFEt_co2,UFEt_co2,,0,10000,co2_u;co2_fe,-1;1
EX_co2_fe,EX_co2_fe,,-1000,10000,co2_fe,-1
Diet_EX_coa_d,EX_coa_d,,-1000,10000,coa_d,-1
DUt_coa,DUt_coa,,0,10000,coa_d;coa_u,-1;1
UFEt_coa,UFEt_coa,,0,10000,coa_u;coa_fe,-1;1
EX_coa_fe,EX_coa_fe,,-1000,10000,coa_fe,-1
Diet_EX_cobalt2_d,EX_cobalt2_d,,-1000,10000,cobalt2_d,-1
DUt_cobalt2,DUt_cobalt2,,0,10000,cobalt2_d;cobalt2_u,-1;1
UFEt_cobalt2,UFEt_cobalt2,,0,10000,cobalt2_u;cobalt2_fe,-1;1
EX_cobalt2_fe,EX_cobalt2_fe,,-1000,10000,cobalt2_fe,-1
Diet_EX_core2_d,EX_core2_d,,-1000,10000,core2_d,-1
DUt_core2,DUt_core2,,0,10000,core2_d;core2_u,-1;1
UFEt_core2,UFEt_core2,,0,10000,core2_u;core2_fe,-1;1
EX_core2_fe,EX_core2_fe,,-1000,10000,core2_fe,-1
Diet_EX_core3_d,EX_core3_d,,-1000,10000,core3_d,-1
DUt_core3,DUt_core3,,0,10000,core3_d;core3_u,-1;1
UFEt_core3,UFEt_core3,,0,10000,core3_u;core3_fe,-1;1
EX_core3_fe,EX_core3_fe,,-1000,10000,core3_fe,-1
Diet_EX_core4_d,EX_core4_d,,-1000,10000,core4_d,-1
DUt_core4,DUt_core4,,0,10000,core4_d;core4_u,-1;1
UFEt_core4,UFEt_core4,,0,10000,core4_u;core4_fe,-1;1
EX_core4_fe,EX_core4_fe,,-1000,10000,core4_fe,-1
Diet_EX_core5_d,EX_core5_d,,-1000,10000,core5_d,-1
DUt_core5,DUt_core5,,0,10000,core5_d;core5_u,-1;1
UFEt_core5,UFEt_core5,,0,10000,core5_u;core5_fe,-1;1
EX_core5_fe,EX_core5_fe,,-1000,10000,core5_fe,-1
Diet_EX_core6_d,EX_core6_d,,-1000,10000,core6_d,-1
DUt_core6,DUt_core6,,0,10000,core6_d;core6_u,-1;1
UFEt_core6,UFEt_core6,,0,10000,core6_u;core6_fe,-1;1
EX_core6_fe,EX_core6_fe,,-1000,10000,core6_fe,-1
Diet_EX_core7_d,EX_core7_d,,-1000,10000,core7_d,-1
DUt_core7,DUt_core7,,0,10000,core7_d;core7_u,-1;1
UFEt_core7,UFEt_core7,,0,10000,core7_u;core7_fe,-1;1
EX_core7_fe,EX_core7_fe,,-1000,10000,core7_fe,-1
Diet_EX_core8_d,EX_core8_d,,-1000,10000,core8_d,-1
DUt_core8,DUt_core8,,0,10000,core8_d;core8_u,-1;1
UFEt_core8,UFEt_core8,,0,10000,core8_u;core8_fe,-1;1
EX_core8_fe,EX_core8_fe,,-1000,10000,core8_fe,-1
Diet_EX_csn_d,EX_csn_d,,-1000,10000,csn_d,-1
DUt_csn,DUt_csn,,0,10000,csn_d;csn_u,-1;1
UFEt_csn,UFEt_csn,,0,10000,csn_u;csn_fe,-1;1
EX_csn_fe,EX_csn_fe,,-1000,10000,csn_fe,-1
Diet_EX_ctp_d,EX_ctp_d,,-1000,10000,ctp_d,-1
DUt_ctp,DUt_ctp,,0,10000,ctp_d;ctp_u,-1;1
UFEt_ctp,UFEt_ctp,,0,10000,ctp_u;ctp_fe,-1;1
EX_ctp_fe,EX_ctp_fe,,-1000,10000,ctp_fe,-1
Diet_EX_cu2_d,EX_cu2_d,,-1000,10000,cu2_d,-1
DUt_cu2,DUt_cu2,,0,10000,cu2_d;cu2_u,-1;1
UFEt_cu2,UFEt_cu2,,0,10000,cu2_u;cu2_fe,-1;1
EX_cu2_fe,EX_cu2_fe,,-1000,10000,cu2_fe,-1
