metID,metName,metFormula,MW
15dmt,"15-DMT or M-III, 15-O-desmethyl tacrolimus","C43H67NO12",789.4663266211
15HPET,"15(S)-HPETE(1-)","C20H31O4",335.2222344835
15kprostgf2,"15-Keto-Prostaglandin F2A","C20H31O5",351.2171491056
15m3hpalmACP,"15-methyl-3-hydroxy-hexa-decanoyl-ACP","C28H53N2O9PRS",624.3209385106
15m3opalmACP,"15-methyl-3-oxo-hexa-decanoyl-ACP","C28H51N2O9PRS",622.3052884464
15mpalmACP,"15-methyl-hexa-decanoyl-ACP","C28H53N2O8PRS",608.3260238885
15mtpalm2eACP,"15-methyl-trans-hexa-dec-2-enoyl-ACP","C28H51N2O8PRS",606.3103738243
15phytn,"15-cis-Phytoene","C40H64",544.5008020544
16evsmn,"16-Epivellosimine","C19H20N2O",292.1575632745
16htabson,"16-Hydroxytabersonine","C21H25N2O3",353.1865176792
16mo23dh3htsn,"16-Methoxy-2,3-dihydro-3-hydroxytabersonine","C22H28N2O4",384.2049073976
16mtabson,"16-Methoxytabersonine","C22H27N2O3",367.2021677434
17ahprgnlone,"17alpha-hydroxypregnenolone","C21H32O3",332.2351448935
17ahprgstrn,"17alpha-hydroxyprogesterone","C21H30O3",330.2194948293
17dmurt,"1,7-Dimethyluric acid","C7H8N4O3",196.0596401439
17oajmln,"17-O-Acetylajmaline","C22H29N2O3",369.2178178076
17oanrjmln,"17-O-Acetylnorajmaline","C21H27N2O3",355.2021677434
18harachd,"18 hydroxy arachidonic acid","C20H31O3",319.2273198614
1a2425thvitd2,"1-alpha,24R,25-Trihydroxyvitamin D2","C28H44O4",444.3239599008
1a2425thvitd3,"calcitetrol","C27H44O4",432.3239599008
1a25dhvitd2,"1-alpha,25-Dihydroxyvitamin D2","C28H44O3",428.3290452787
1a25dhvitd3,"calcitriol","C27H44O3",416.3290452787
1agpe120,"1-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)","C17H36NO7P1",397.2229390255
1agpe140,"1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)","C19H40NO7P1",425.2542391539
1agpe141,"1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)","C19H38NO7P1",423.2385890897
1agpe160,"1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)","C21H44NO7P1",453.2855392823
1agpe161,"1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)","C21H42NO7P1",451.2698892181
1agpe180,"1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)","C23H48NO7P1",481.3168394107
1agpe181,"1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)","C23H46NO7P1",479.3011893465
1agpg120,"1-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)","C18H36O9P1",427.2096942645
1agpg140,"1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)","C20H40O9P1",455.2409943929
1agpg141,"1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)","C20H38O9P1",453.2253443287
1agpg160,"1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)","C22H44O9P1",483.2722945213
1agpg161,"1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1)","C22H42O9P1",481.2566444571
1agpg180,"1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0)","C24H48O9P1",511.3035946497
1agpg181,"1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)","C24H46O9P1",509.2879445855
1aihpdecg3p,"1-anteisoheptadecanoyl-sn-glycerol 3-phosphate (14-methyl-hexadecanoyl, anteiso-C17)","C20H39O7P",422.2433401166
1aipdecg3p,"1-anteisopentadecanoyl-sn-glycerol 3-phosphate (12-methyl-tetradecanoyl, anteiso-C15)","C18H36O7P",395.2198650203
1asng,"1-Alkyl-sn-glycerol","C3H7O3R",91.039519091
1c24dnb,"1-chloro-2,4-dinitrobenzene","C6H3ClN2O4",201.9781343051
1ddecg3p,"1-acyl-sn-glycerol 3-phosphate(2-)","C15H29O7P1",352.1650897956
1fagalr,"1F-alpha-D-Galactosylraffinose","C24H42O21",666.2218584123
1fbfrctsylsucr,"1F-beta-D-Fructosylsucrose","C18H32O16",504.1690349808
1fchhdl,"1-Fluorocyclohexadiene-cis,cis-1,2-diol","C6H7O2F",111.0446044689
1glyc_hs,"1 acyl phosphoglycerol","C6H13O7PFULLRCO2",272.0297185262
1h2npt,"1-Hydroxy-2-naphthoate","C11H7O3",187.039519091
1hchxn1ylaccoa,"(1-Hydroxycyclohexan-1-yl)acetyl-CoA","C29H45N7O18P3S",904.1754628987
1hdec9eg3p,"1-hexadec-9-enoyl-sn-glycerol 3-phosphate","C19H35O7P1",406.2120399882
1hdecg3p,"1-hexadecanoyl-sn-glycerol 3-phosphate","C19H37O7P1",408.2276900524
1hgcrtn,"1-Hydroxy-gamma-carotene","C40H58O",554.4487664839
1hibup_S,"1-hydroxy S-ibuprofen","C13H17O3",221.117769412
1hibupglu_S,"1-hydroxy S-ibuprofen-glucuronide","C19H25O9",397.1498574014
1hmdgluc,"1-OH-midazolam-glucuronide","C24H20ClFN3O7",497.0989777223
1hmnp,"1-Hydroxymethylnaphthalene","C11H10O",158.0731649431
1hnpaldh,"1-Hydroxy-2-naphthaldehyde","C11H8O2",172.052429501
1holmn,"(1S,4R)-1-Hydroxy-2-oxolimonene","C10H16O2",168.1150297578
1ihdecg3p,"1-isohexadecanoyl-sn-glycerol 3-phosphate (14-methyl-pentadecanoyl, iso-C16)","C19H38O7P",409.2355150845
1ihpdecg3p,"1-isoheptadecanoyl-sn-glycerol 3-phosphate (15-methyl-hexadecanoyl, iso-C17)","C20H39O7P",422.2433401166
1ipdecg3p,"1-isopentadecanoyl-sn-glycerol 3-phosphate (13-methyl-tetradecanoyl, iso-C15)","C18H36O7P",395.2198650203
1itdecg3p,"1-isotetradecanoyl-sn-glycerol 3-phosphate (12-methyl-tridecanoyl, iso-C14)","C17H34O7P",381.2042149561
1m4phthpyro,"1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine N-oxide","C12H15NO",189.1153641088
1mncam,"1-methylnicotinamide","C7H9N2O",137.0714879214
1mpyr,"1-methylpyrrolinium","C5H10N",84.0813243262
1murt,"1-Methyluric acid","C6H6N4O3",182.0439900797
1mxnthn,"1-Methylxanthine","C6H6N4O2",166.0490754576
1naldh,"1-Naphthaldehyde","C11H8O",156.0575148789
1odec11eg3p,"1-octadec-11-enoyl-sn-glycerol 3-phosphate","C21H39O7P1",434.2433401166
1odecg3p,"1-octadecanoyl-sn-glycerol 3-phosphate","C21H41O7P1",436.2589901808
1oh,"Primary alcohol","CH3OR",31.0183897184
1ohmdz,"1-OH-midazolam","C18H13ClFN3O",322.074714765
1ometmistl,"1-O-Methyl-myo-inositol","C7H14O6",194.079038182
1p2cbxl,"1-pyrroline-2-carboxylate","C5H6NO2",112.039853442
1p3h5c,"L-1-Pyrroline-3-hydroxy-5-carboxylate","C5H6NO3",128.0347680641
1p4h2cbxl,"1-Pyrroline-4-hydroxy-2-carboxylate","C5H6NO3",128.0347680641
1padglcnt,"1-Phospho-alpha-D-glucuronate","C6H9O10P",271.9933330199
1pdmi45bp,"1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate","C11H16O19P3R2",544.9498628635
1pipdn2c,"1-piperideine-2-carboxylate","C6H9NO2",127.0633285383
1pyr5c,"1-Pyrroline-5-carboxylate","C5H6NO2",112.039853442
1tdec7eg3p,"1-tetradec-7-enoyl-sn-glycerol 3-phosphate","C17H31O7P1",378.1807398598
1tdecg3p,"1-tetradecanoyl-sn-glycerol 3-phosphate","C17H33O7P1",380.196389924
20ahchsterol,"20-hydroxycholesterol","C27H46O2",402.3497807208
21hprgnlone,"21-Hydroxypregnenolone","C21H32O3",332.2351448935
23boggnglyc1p,"2,3-Bis-O-(geranylgeranyl)glycerol 1-phosphate","C43H72O6P",715.5066515538
23camp,"2,3-Cyclic AMP","C10H11N5O6P",328.0446946217
23ccmp,"2,3-Cyclic CMP","C9H11N3O7P",304.0334612334
23cgmp,"2,3-Cyclic GMP","C10H11N5O7P",344.0396092438
23cump,"2,3-cyclic UMP(1-)","C9H10N2O8P",305.0174768182
23d23d4cbiphe,"cis-2,3-Dihydro-2,3-dihydroxy-4-chlorobiphenyl","C12H11O2Cl",222.0447573073
23d23dbiphe,"cis-2,3-Dihydro-2,3-dihydroxybiphenyl","C12H12O2",188.0837296294
23d23dpcmt,"cis-2,3-Dihydroxy-2,3-dihydro-p-cumate","C10H13O4",197.0813839057
23damnppn,"L-2,3-Diaminopropanoate","C3H8N2O2",104.0585775114
23dappa,"2,3-diaminopropionate","C3H9N2O2",105.0664025435
23ddhb,"2,3-Dihydro-2,3-dihydroxybenzoate","C7H7O4",155.0344337131
23dh1i56dio,"2,3-Dihydro-1H-Indole-5,6-Dione","C8H7NO2",149.0476784741
23dh4cbiphe,"2,3-Dihydroxy-4-chlorobiphenyl","C12H9O2Cl",220.0291072431
23dhb,"2,3-Dihydroxybenzoate","C7H5O4",153.0187836489
23dhba,"(2,3-Dihydroxybenzoyl)adenylate","C17H17N5O10P",482.0713033027
23dhbzs,"2,3-dihydroxybenzoylserine","C10H10NO6",240.0508120588
23dhbzs2,"2-3-dihydroxybenzoylserine dimer","C20H20N2O11",464.1067094955
23dhbzs3,"2-3-dihydroxybenzoylserine trimer","C30H29N3O16",687.1547819001
23dhdp,"2,3-Dihydrodipicolinate","C7H5NO4",167.0218576541
23dhgosptn,"2,3-Dihydrogossypetin","C15H12O8",320.053217362
23dhmb,"(R)-2,3-Dihydroxy-3-methylbutanoate","C5H9O4",133.0500837773
23dhmp,"(R)-2,3-Dihydroxy-3-methylpentanoate","C6H11O4",147.0657338415
23dm5pqnl,"2,3-Dimethyl-5-phytylquinol","C28H48O2",416.365430785
23dmthmlet,"2,3-Dimethylmaleate","C6H6O4",142.026608681
23dmthmlt,"2,3-Dimethylmalate","C6H8O5",160.0371733673
23doguln,"(4R,5S)-4,5,6-trihydroxy-2,3-dioxohexanoate","C6H7O7",191.0191775794
23dpg,"2,3-bisphosphonato-D-glycerate(5-)","C3H3O10P2",260.9201443373
23esucc,"trans-2,3-Epoxysuccinate","C4H2O5",129.9902231747
2425dhvitd2,"24R,25-Dihyoxyvitamin D2","C28H44O3",428.3290452787
2425dhvitd3,"(24R)-24,25-dihydroxycalciol","C27H44O3",416.3290452787
24dchlphe,"2,4-Dichlorophenol","C6H4OCl2",161.9639201705
24dhacphn,"2,4-Dihydroxyacetophenone","C8H8O3",152.0473441231
24dhhed,"2,4-Dihydroxyhept-2-enedioate","C7H8O6",188.0320879894
24dmpntn,"2,4-Diaminopentanoate","C5H13N2O2",133.0977026719
24dnpsg,"2,4-dinitrophenyl-S-glutathione","X",0
24k3DoFcnt,"2,4-Diketo-3-deoxy-L-fuconate","C6H8O5",160.0371733673
24mcartnl,"24-Methylenecycloartanol","C31H52O",440.4018162913
24nph,"2-hydroxy-4-nitrophenolate","C6H5NO4",155.0218576541
24pentdcoa,"2,4-Pentadienoyl-CoA","C26H36N7O17P3S",843.1101229877
256th56dhqln,"2,5,6-Trihydroxy-5,6-dihydroquinoline","C9H9NO3",179.0582431604
25aics,"(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate","C13H15N4O12P",450.0424084775
25d5o2a,"Muconolactone","C6H5O4",141.0187836489
25dahxnt,"2,5-Diaminohexanoate","C6H15N2O2",147.1133527361
25daphoa4opm,"2,5-Diamino-6-(5-triphosphoryl-3,4-trihydroxy-2-oxopentyl)- amino-4-oxopyrimidine","C9H14N5O14P3",508.9750097148
25dcmucnt,"2,5-Dichloro-cis,cis-muconate","C6H2O4Cl2",207.9330139726
25dhb,"2,5-dihydroxybenzoate","X",0
25dhpp,"2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine","C9H14N5O8P",351.0579989622
25dhpyr,"2,5-Dihydroxypyridine","C5H5NO2",111.0320284099
25dkglcn,"2,5-diketo-D-gluconate","C6H7O7",191.0191775794
25dop,"2,5-Dioxopentanoate","C5H5O4",129.0187836489
25dpiprzn,"2,5-Dioxopiperazine","C4H6N2O2",114.0429274472
25drapp,"2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5-phosphate","C9H14N5O8P",351.0579989622
25hvitd2,"25-Hydroxyvitamin D2","C28H44O2",412.3341306566
25hvitd3,"calcidiol","C27H44O2",400.3341306566
26dap_LL,"LL-2,6-Diaminoheptanedioate","C7H14N2O4",190.0953569482
26dap_M,"meso-2,6-Diaminoheptanedioate","C7H14N2O4",190.0953569482
26dhcychex1cbxlcoa,"2,6-Dihydroxycyclohexane-1-carboxyl-CoA","C28H42N7O19P3S",905.1469024245
26dhponctn,"2,6-Dihydroxypseudooxynicotine","C10H15N2O3",211.1082673582
26dhpy,"2,6-Dihydroxypyridine","C5H5NO2",111.0320284099
26do6ph3e,"2,6-Dioxo-6-phenylhexa-3-enoate","C12H9O4",217.0500837773
26do6phexnt,"2,6-Dioxo-6-phenylhexanoate","C12H11O4",219.0657338415
27mthmlt,"2-(7-Methylthio)heptylmalate","C12H22O5S",278.1187945067
2a2mmnt,"2-Aryl-2-methylmalonate","C4H3O4R",115.0031335847
2a4opntn,"2-Amino-4-oxopentanoate","C5H9NO3",131.0582431604
2a5faprap,"2-Amino-5-formylamino-6-(5-phosphoribosylamino)pyrimidin-4(3H)-one","C10H15N5O9P",380.0607386164
2a5ohexnt,"2-Amino-5-oxohexanoate","C6H11NO3",145.0738932246
2aasng3p,"2-Acetyl-1-alkyl-sn-glycero-3-phosphate","C5H9O7PR",212.0085891536
2abut2en,"2-Aminobut-2-enoate","C4H7NO2",101.0476784741
2ac1asngpc,"2-Acetyl-1-alkyl-sn-glycero-3-phosphocholine","C10H21NO7PR",298.105563544
2acamsucc,"2-(Acetamidomethylene)succinate","C7H7NO5",185.0324223404
2admasl3pg,"2-(alpha-D-Mannosyl)-3-phosphoglycerate","C9H15O12P",346.0301124567
2aeppn,"2-Aminoethylphosphonate","C2H7NO3P",124.0163546062
2agpe120,"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)","C17H36NO7P1",397.2229390255
2agpe140,"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)","C19H40NO7P1",425.2542391539
2agpe141,"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)","C19H38NO7P1",423.2385890897
2agpe160,"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)","C21H44NO7P1",453.2855392823
2agpe161,"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)","C21H42NO7P1",451.2698892181
2agpe180,"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)","C23H48NO7P1",481.3168394107
2agpe181,"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)","C23H46NO7P1",479.3011893465
2agpg120,"2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)","C18H36O9P1",427.2096942645
2agpg140,"2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)","C20H40O9P1",455.2409943929
2agpg141,"2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)","C20H38O9P1",453.2253443287
2agpg160,"2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)","C22H44O9P1",483.2722945213
2agpg161,"2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1)","C22H42O9P1",481.2566444571
2agpg180,"2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0)","C24H48O9P1",511.3035946497
2agpg181,"2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)","C24H46O9P1",509.2879445855
2ahbut,"(S)-2-Aceto-2-hydroxybutanoate","C6H9O4",145.0500837773
2ahhmd,"2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate","C7H8N5O8P2",351.9848102796
2ahhmp,"2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine","C7H9N5O2",195.0756245591
2amac,"2-aminoacrylic acid","C3H5NO2",87.0320284099
2ameph,"(2-Aminoethyl)phosphonate","C2H7NO3P",124.0163546062
2amnb4old,"2-Aminobutan-4-olide","C4H8NO2",102.0555035062
2amsa,"2-Aminomalonate semialdehyde","C3H5NO3",103.026943032
2aobut,"L-2-amino-3-oxobutanoic acid","C4H7NO3",117.0425930962
2aphenl,"2-Aminophenol","C6H7NO",109.052763852
2appnt,"2-Arylpropionate","C3H4O2R",72.0211293726
2beacp,"But_2_enoyl_acyl_carrier_protein","C4H4OX",68.0262147505
2butnt,"2-Butenoate","C4H5O2",85.0289544047
2c23dh56dhoxin,"2-Carboxy-2,3-dihydro-5,6-dihydroxyindole","C9H8NO4",194.0453327504
2c25dh5of2a,"2-Chloro-2,5-dihydro-5-oxofuran-2-acetate","C6H4O4Cl",174.9798113268
2c25dho,"2-Carboxy-2,5-dihydro-5-oxofuran-2-acetate","C7H4O6",184.000787861
2c4mthzep,"2-[(2R,5Z)-2-Carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate","C7H7NO6PS",263.9731691625
2chatzn,"2-Chloro-4-hydroxy-6-amino-1,3,5-triazine","C3H3N4OCl",145.9995384492
2chdeacp,"cis_Hexadec_2_enoyl_acyl_carrier_protein","C16H28OX",236.2140155209
2cmcnt,"2-Chloro-cis,cis-muconate","C6H3O4Cl",173.9719862947
2cocdacp,"cis_Octadec_2_enoyl_acyl_carrier_protein","C18H32OX",264.2453156493
2coum,"cis-2-coumarate","C9H7O3",163.039519091
2cpr5p,"1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate","C12H13NO9P",346.0327925314
2ctdeacp,"cis_Tetradec_2_enoyl_acyl_carrier_protein","C14H24OX",208.1827153925
2d3dxylt,"2-Dehydro-3-deoxy-D-xylonate","C5H7O5",147.0293483352
2d3ksciam,"2-Deoxy-3-keto-scyllo-inosamine","C6H12NO4",162.0766328788
2dda7p,"2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate","C7H10O10P",285.001158052
2ddecdicoa,"2,6-dodecadienoylcoa","C33H50N7O17P3S",941.2196734371
2ddecg3p,"2-dodecanoyl-sn-glycerol 3-phosphate","C15H30O7P1",353.1729148277
2ddg6p,"2-Dehydro-3-deoxy-D-gluconate 6-phosphate","C6H8O9P",254.9905933657
2ddglcn,"2-Dehydro-3-deoxy-D-gluconate","C6H9O6",177.0399130215
